PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:42:53,13,4105,57
DESKTOP-O325S3M,19:42:56,1,4105,57
DESKTOP-O325S3M,19:42:59,6,4106,57
DESKTOP-O325S3M,19:43:02,0,4106,57
DESKTOP-O325S3M,19:43:05,3,4107,57
DESKTOP-O325S3M,19:43:08,1,4107,57
DESKTOP-O325S3M,19:43:11,0,4107,57
DESKTOP-O325S3M,19:43:14,1,4107,57
DESKTOP-O325S3M,19:43:17,3,4109,57
DESKTOP-O325S3M,19:43:20,7,4111,57
DESKTOP-O325S3M,19:43:23,1,4111,57
DESKTOP-O325S3M,19:43:26,3,4111,57
DESKTOP-O325S3M,19:43:29,2,4113,57
DESKTOP-O325S3M,19:43:32,76,4339,60
DESKTOP-O325S3M,19:47:36,100,4344,60
DESKTOP-O325S3M,19:47:38,36,4228,58
DESKTOP-O325S3M,19:47:40,8,4227,58
DESKTOP-O325S3M,19:47:42,4,4226,58
DESKTOP-O325S3M,19:47:44,5,4225,58
DESKTOP-O325S3M,19:47:46,1,4230,59
DESKTOP-O325S3M,19:47:48,4,4229,58
DESKTOP-O325S3M,19:47:50,6,4229,58
DESKTOP-O325S3M,19:47:52,8,4236,59
DESKTOP-O325S3M,19:47:54,10,4227,58
DESKTOP-O325S3M,19:47:56,1,4226,58
DESKTOP-O325S3M,19:47:58,10,4229,58
DESKTOP-O325S3M,19:48:00,7,4224,58
DESKTOP-O325S3M,19:48:02,9,4223,58
DESKTOP-O325S3M,19:48:04,4,4223,58
DESKTOP-O325S3M,19:48:06,6,4223,58
DESKTOP-O325S3M,19:48:08,5,4223,58
DESKTOP-O325S3M,19:48:10,17,4231,59
DESKTOP-O325S3M,19:48:12,4,4227,58
DESKTOP-O325S3M,19:48:14,2,4227,58
DESKTOP-O325S3M,19:48:16,4,4227,58
DESKTOP-O325S3M,19:48:18,1,4227,58
DESKTOP-O325S3M,19:48:20,1,4228,58
DESKTOP-O325S3M,19:48:22,4,4228,58
DESKTOP-O325S3M,19:48:25,21,4523,63
DESKTOP-O325S3M,19:48:27,42,4490,62
DESKTOP-O325S3M,19:48:29,25,4415,61
DESKTOP-O325S3M,19:48:31,0,4410,61
DESKTOP-O325S3M,19:48:33,1,4410,61
DESKTOP-O325S3M,19:48:35,5,4403,61
DESKTOP-O325S3M,19:48:37,23,4451,62
DESKTOP-O325S3M,19:48:39,1,4403,61
DESKTOP-O325S3M,19:48:41,0,4401,61
DESKTOP-O325S3M,19:48:43,1,4401,61
DESKTOP-O325S3M,19:48:45,0,4399,61
DESKTOP-O325S3M,19:48:47,0,4398,61
DESKTOP-O325S3M,19:48:49,1,4398,61
DESKTOP-O325S3M,19:48:51,0,4397,61
DESKTOP-O325S3M,19:48:53,3,4368,60
DESKTOP-O325S3M,19:48:55,3,4368,60
DESKTOP-O325S3M,19:48:57,1,4368,60
DESKTOP-O325S3M,19:49:00,6,4368,60
DESKTOP-O325S3M,19:49:03,14,4364,60
DESKTOP-O325S3M,19:49:06,4,4361,60
DESKTOP-O325S3M,19:49:09,2,4358,60
DESKTOP-O325S3M,19:49:12,5,4358,60
DESKTOP-O325S3M,19:49:15,5,4358,60
DESKTOP-O325S3M,19:49:18,2,4358,60
DESKTOP-O325S3M,19:49:21,0,4359,60
DESKTOP-O325S3M,19:49:24,0,4361,60
DESKTOP-O325S3M,19:49:26,1,4362,60
DESKTOP-O325S3M,19:49:30,1,4362,60
DESKTOP-O325S3M,19:49:33,1,4362,60
DESKTOP-O325S3M,19:49:36,1,4363,60
DESKTOP-O325S3M,19:49:39,2,4363,60
DESKTOP-O325S3M,19:49:42,1,4364,60
DESKTOP-O325S3M,19:49:45,0,4364,60
DESKTOP-O325S3M,19:49:48,5,4366,60
DESKTOP-O325S3M,19:49:51,3,4366,60
DESKTOP-O325S3M,19:49:54,2,4367,60
DESKTOP-O325S3M,19:49:57,3,4368,60
DESKTOP-O325S3M,19:50:00,1,4368,60
DESKTOP-O325S3M,19:50:03,3,4370,60
DESKTOP-O325S3M,19:50:06,1,4370,60
DESKTOP-O325S3M,19:50:09,1,4371,60
DESKTOP-O325S3M,19:50:12,6,4371,60
DESKTOP-O325S3M,19:50:15,5,4372,60
DESKTOP-O325S3M,19:50:18,5,4374,61
DESKTOP-O325S3M,19:50:21,4,4374,61
DESKTOP-O325S3M,19:50:24,3,4374,61
DESKTOP-O325S3M,19:50:27,1,4376,61
DESKTOP-O325S3M,19:50:30,3,4378,61
DESKTOP-O325S3M,19:50:33,2,4378,61
DESKTOP-O325S3M,19:50:36,2,4378,61
DESKTOP-O325S3M,19:50:39,3,4380,61
DESKTOP-O325S3M,19:50:42,3,4385,61
DESKTOP-O325S3M,19:50:45,0,4385,61
DESKTOP-O325S3M,19:50:48,2,4386,61
DESKTOP-O325S3M,19:50:51,1,4386,61
DESKTOP-O325S3M,19:50:54,0,4386,61
DESKTOP-O325S3M,19:50:56,2,4386,61
DESKTOP-O325S3M,19:51:00,3,4386,61
DESKTOP-O325S3M,19:51:03,2,4389,61
DESKTOP-O325S3M,19:51:06,1,4388,61
